A,B,C
0.22673,0.47494,0.79384
0.19711,0.49056,0.83856
0.13456,0.41884,0.87818
0.23491,0.41137,0.7857
0.10575,0.42917,0.86996
0.20813,0.49111,0.8758
0.22626,0.43979,0.82084
0.10088,0.38726,0.82084
0.16318,0.37023,0.81379
0.09771,0.42875,0.91931
0.17451,0.514,0.84146
0.097614,0.4645,0.8644
0.14935,0.56779,0.84471
0.226,0.50544,0.87037
0.22302,0.45823,0.85534
0.12086,0.31164,0.80637
0.27085,0.454,0.83279
0.11547,0.4384,0.85257
0.19392,0.4186,0.86525
0.22853,0.38923,0.84728
0.081623,0.4553,0.97686
0.17448,0.57857,0.82384
0.11009,0.54042,0.77407
0.12044,0.45278,0.88304
0.20196,0.40777,0.79201
0.13645,0.40278,0.80145
0.14077,0.43201,0.88456
0.10871,0.44161,0.74506
0.064471,0.39188,0.84514
0.10218,0.53104,0.80557
0.11882,0.45613,0.8259
0.10722,0.48026,0.79755
0.086614,0.41984,0.83055
0.2472,0.38155,0.93533
0.035407,0.44217,0.85789
0.11039,0.4382,0.81022
0.24234,0.42473,0.92079
0.15075,0.40599,0.87731
0.21701,0.48634,0.74643
0.084605,0.45018,0.8862
0.11993,0.40992,0.80234
0.17692,0.42179,0.91865
0.18082,0.39615,0.83887
0.0844,0.38638,0.84452
0.11268,0.35713,0.91102
0.22553,0.45758,0.8279
0.11256,0.47003,0.75336
0.08211,0.34096,0.78185
0.28069,0.4378,0.88071
0.13116,0.51969,0.68337
0.057873,0.42127,0.84481
0.066088,0.37479,0.87804
0.13574,0.40789,0.76352
0.070969,0.40938,0.87219
0.13474,0.47829,0.86315
0.13869,0.41933,0.95618
0.20454,0.34831,0.87168
0.12101,0.40614,0.86951
0.071802,0.49446,0.80739
0.21599,0.49819,0.78411
0.16211,0.48013,0.83673
0.073977,0.40315,0.71836
0.065438,0.36314,0.84674
0.1543,0.48871,0.78655
0.2094,0.43386,0.94134
0.10097,0.46898,0.79512
0.14542,0.45636,0.78416
0.20371,0.55974,0.81548
0.27065,0.53129,0.76269
0.14243,0.4346,0.82639
0.13152,0.43879,0.90456
0.10479,0.52901,0.75007
0.23886,0.3982,0.73997
0.12036,0.51377,0.84703
0.18797,0.41397,0.77395
0.17815,0.38679,0.80982
0.21114,0.46011,0.74511
0.12209,0.41213,0.84486
0.23434,0.3932,1
0.10089,0.51118,0.89694
0.25362,0.51165,0.81915
0.1232,0.38891,0.83767
0.078166,0.43667,0.78807
0.089786,0.48584,0.76401
0.14086,0.49269,0.77611
0.027803,0.4442,0.89533
0.21601,0.42987,0.86511
0.11375,0.49352,0.77326
0.12942,0.4253,0.84908
0.156,0.45351,0.86492
0.13087,0.42833,0.83537
0.17561,0.47932,0.83625
0.2844,0.47442,0.99454
0.15609,0.53022,0.845
0.14283,0.55004,0.66161
0.19026,0.4196,0.80088
0.12568,0.44266,0.84841
0.1946,0.48261,0.91496
0.0023662,0.53649,0.77894
0.16611,0.5172,0.7511
0.30866,0.55456,0.89397
0.14939,0.4413,0.82696
0.096008,0.40233,0.82298
0.20873,0.48362,0.86444
0.178,0.54814,0.8493
0.15239,0.47724,0.86671
0.21161,0.43774,0.84708
0.1367,0.40538,0.84294
0.12071,0.42238,0.90277
0.13807,0.44274,0.79934
0.1154,0.4083,0.83166
0.19422,0.42613,0.92659
0.20842,0.41017,0.83335
0.11179,0.52422,0.84686
0.16111,0.48705,0.84581
0.18447,0.42033,0.95076
0.056577,0.50498,0.86993
0.13416,0.37477,0.80842
0.12325,0.50565,0.78679
0.18849,0.52702,0.73807
0.23425,0.55591,0.95515
0.12963,0.48271,0.72657
0.064565,0.40424,0.73772
0.16751,0.50366,0.84644
0.10233,0.39697,0.78812
0.24351,0.54123,0.86337
0.040718,0.43082,0.91093
0.16716,0.40347,0.88314
0.1743,0.3694,0.80006
0.1082,0.41973,0.83489
0.12591,0.48719,0.79405
0.22454,0.46989,0.81857
0.13378,0.57246,0.88476
0.096011,0.42392,0.84142
0.1518,0.38867,0.80648
0.028471,0.44762,0.82045
0.15995,0.41218,0.83607
0.12902,0.4353,0.87817
0.12915,0.43931,0.81367
0.16943,0.56751,0.9958
0.19115,0.38358,0.882
0.117,0.37531,0.80649
0.22335,0.51568,0.74587
0.13581,0.41026,0.65663
0.02638,0.38381,0.83255
0.022903,0.44968,0.66793
0.18588,0.41494,0.81603
0.10725,0.35202,0.79699
0.10378,0.39885,0.86441
0.16597,0.47913,0.81704
0.098395,0.4034,0.76178
0.13148,0.37916,0.75905
0.12646,0.33575,0.80906
0.25286,0.47749,0.88683
0.12469,0.43424,0.7705
0.21777,0.50477,0.86867
0.15791,0.48239,0.85245
0.15315,0.52769,0.81271
0.080296,0.36627,0.76948
0.13719,0.4724,0.91964
0.17455,0.52878,0.82939
0.16345,0.46304,0.79396
0.17044,0.45786,0.91516
0.053768,0.56313,0.85424
0.22459,0.46018,0.75482
0.16046,0.37477,0.84647
0.072326,0.44141,0.78149
0.12845,0.5531,0.84379
0.2013,0.54533,0.76288
0.17023,0.54259,0.80677
0.15017,0.39649,0.7912
0.10099,0.41951,0.9486
0.20564,0.51826,0.78852
0.059509,0.38221,0.80175
0.13258,0.60719,0.79304
0.235,0.44746,0.83844
0.31802,0.47048,0.83324
0.16673,0.46934,0.96336
0.20615,0.41515,0.92047
0.20833,0.44163,0.83746
0.16788,0.37791,0.8579
0.18329,0.386,0.92478
0.14665,0.52239,0.7605
0.14582,0.47499,0.82245
0.21741,0.38655,0.93759
0.17117,0.57489,0.82622
0.064578,0.42223,0.80136
0.00090035,0.35401,0.85899
0.17491,0.3503,0.78477
0.1399,0.41638,0.88166
0.098976,0.5115,0.8833
0.15882,0.371,0.82762
0.23201,0.51065,0.82476
0.12971,0.38424,0.82346
0.17773,0.4266,0.79191
0.095994,0.39749,0.91788
0.2422,0.38118,0.83416
0.19872,0.32908,0.84216
0.16282,0.48507,0.82609
0.094136,0.48107,0.8005
0.81333,0.39601,0.21567
0.88524,0.41921,0.10809
0.9582,0.48673,0.10096
0.78139,0.39832,0
0.82047,0.41366,0.15145
0.80782,0.40661,0.14924
0.76968,0.41658,0.24137
0.87916,0.47519,0.073857
0.75444,0.45531,0.20753
0.82668,0.40757,0.076796
0.68388,0.42612,0.14744
0.80728,0.43087,0.17165
0.89553,0.35233,0.18603
0.84292,0.34831,0.1188
0.82725,0.4513,0.19979
0.87727,0.43461,0.11369
0.81892,0.41339,0.1538
0.83125,0.41425,0.20066
0.755,0.49879,0.19313
0.78807,0.44386,0.17303
0.91763,0.39366,0.18022
0.73999,0.48768,0.20447
0.79503,0.34809,0.121
0.85447,0.29565,0.12306
0.84975,0.50929,0.24139
0.74101,0.40368,0.24347
0.89814,0.38023,0.14211
0.84038,0.37224,0.090692
0.78544,0.51179,0.12758
0.82038,0.59327,0.12698
0.81128,0.40942,0.10472
0.86293,0.55907,0.185
0.86998,0.35299,0.075422
0.83944,0.52326,0.11042
0.94409,0.401,0.26645
0.81163,0.46184,0.086237
0.85744,0.38602,0.19084
