A,B,C,D,E
0.38324,0.12786,0.3689,0.23537,0.25392
0.39319,0.40924,0.052005,0.34025,0.30696
0.30724,0.36567,0.3804,0.33599,0.18545
0.37433,0.1884,0.29606,0.45246,0.33575
0.11335,0.27235,0.35252,0.19768,0.30847
0.21689,0.33285,0.35344,0.33294,0.32115
0.31416,0.42301,0.24674,0.34332,0.31714
0.21836,0.3407,0.17177,0.34721,0.3595
0.3373,0.23894,0.23842,0.42166,0.40072
0.3412,0.44599,0.36632,0.27365,0.11499
0.25877,0.20445,0.36369,0.27895,0.37011
0.18616,0.24698,0.31333,0.21536,0.25128
0.34182,0.24257,0.1691,0.42945,0.20282
0.37198,0.20227,0.36521,0.24514,0.41852
0.18036,0.38633,0.40457,0.31643,0.37338
0.315,0.15161,0.2938,0.28296,0.31625
0.35907,0.3371,0.13116,0.24885,0.36918
0.26847,0.057739,0.43278,0.27559,0.29307
0.3029,0.3161,0.2521,0.28383,0.23914
0.33528,0.25826,0.40896,0.2268,0.17967
0.43317,0.25778,0.22932,0.3361,0.23254
0.35451,0.35387,0.24046,0.25713,0.24188
0.38536,0.23763,0.32358,0.20965,0.4017
0.43153,0.1865,0.20015,0.49507,0.2991
0.34506,0.20393,0.1483,0.38319,0.50649
0.30212,0.20366,0.22561,0.29172,0.087648
0.19095,0.3681,0.23725,0.32943,0.23095
0.30512,0.25465,0.35788,0.38046,0.33716
0.3832,0.37149,0.19748,0.31018,0.33065
0.23794,0.36741,0.23957,0.35257,0.38654
0.26493,0.14218,0.1742,0.14262,0.41693
0.29244,0.48722,0.28309,0.41587,0.32208
0.27176,0.21206,0.51315,0.20232,0.28196
0.31309,0.42823,0.47703,0.30991,0.28341
0.25301,0.29312,0.31893,0.29347,0.46963
0.20879,0.32872,0.31044,0.2491,0.28642
0.21281,0.26893,0.24325,0.26213,0.41452
0.26964,0.34856,0.15387,0.29405,0.2271
0.19639,0.37076,0.35806,0.32085,0.37153
0.44568,0.35956,0.12926,0.35734,0.36253
0.29256,0.28673,0.047261,0.25739,0.31669
0.39281,0.29171,0.3719,0.26478,0.29243
0.31478,0.3475,0.30511,0.42037,0.42123
0.32904,0.31439,0.24232,0.33218,0.32261
0.41198,0.42301,0.50926,0.41562,0.30834
0.29083,0.37995,0.18804,0.29142,0.22771
0.42056,0.33091,0.17515,0.67891,0.36284
0.35278,0.33957,0.22043,0.25932,0.27144
0.43997,0.28756,0.14393,0.25858,0.38339
0.29361,0.36367,0.39425,0.30879,0.39051
0.32771,0.39447,0.18421,0.14073,0.36718
0.33343,0.41768,0.27682,0.45384,0.38114
0.46088,0.36062,0.37836,0.40425,0.42379
0.38958,0.26252,0.24165,0.2417,0.18215
0.31863,0.10757,0.26968,0.30666,0.45559
0.30396,0.36837,0.19851,0.23108,0.19112
0.35239,0.43893,0.17518,0.36199,0.47863
0.24833,0.34585,0.25134,0.25437,0.29522
0.30743,0.16057,0.342,0.22125,0.41727
0.21769,0.24619,0.48857,0.34282,0.37009
0.15347,0.16194,0.39694,0.17432,0.334
0.26582,0.44288,0.28262,0.2402,0.34035
0.36305,0.22761,0.42255,0.45493,0.361
0.42366,0.23155,0.24041,0.27102,0.42218
0.33373,0.26875,0.35015,0.46166,0.32294
0.32496,0.41185,0.18379,0.36877,0.31804
0.21822,0.19611,0.19743,0.28165,0.36452
0.41279,0.37678,0.33725,0.1783,0.26269
0.30451,0.33842,0.31333,0.12293,0.33647
0.20578,0.20169,0.19053,0.29946,0.39717
0.34693,0.24933,0.41898,0.26125,0.43985
0.39668,0.30829,0.38596,0.5494,0.34297
0.31083,0.37714,0.31074,0.25687,0.33773
0.2596,0.34564,0.34949,0.36682,0.32084
0.1519,0.42207,0.3146,0.15715,0.33301
0.25417,0.32335,0.31704,0.2615,0.28334
0.37432,0.36968,0.16942,0.25188,0.35881
0.37405,0.51792,0.30744,0.29316,0.32943
0.23246,0.4135,0.38614,0.36117,0.35009
0.19386,0.33198,0.47675,0.3793,0.38891
0.31085,0.35698,0.24524,0.26083,0.16818
0.23069,0.31536,0.32706,0.26002,0.39842
0.42414,0.25613,0.26502,0.22669,0.42006
0.33826,0.4199,0.36463,0.23452,0.37557
0.2771,0.26006,0.39213,0.29157,0.36803
0.31416,0.46586,0.19706,0.2738,0.33779
0.30922,0.35976,0.2086,0.3878,0.31755
0.34885,0.43292,0.22782,0.26669,0.34755
0.38405,0.4316,0.19433,0.19776,0.38047
0.28785,0.32101,0.30414,0.36093,0.13081
0.40195,0.26816,0.22776,0.31372,0.33064
0.33133,0.23561,0.32683,0.32327,0.2277
0.23165,0.29596,0.40465,0.22032,0.32156
0.21913,0.22498,0.29763,0.32757,0.24196
0.44243,0.38753,0.26629,0.39227,0.13619
0.5558,0.21801,0.34093,0.41962,0.22942
0.2478,0.36286,0.22216,0.30481,0.26003
0.28391,0.37849,0.33619,0.31195,0.2714
0.3552,0.34806,0.19262,0.3469,0.38044
0.34688,0.45822,0.32458,0.22664,0.29089
0.35806,0.62205,0.29338,0.48991,0.18343
0.38317,0.29153,0.32299,0.28002,0.39887
0.23823,0.27729,0.33424,0.23902,0.44766
0.26235,0.3276,0.021624,0.31837,0.19666
0.26425,0.22255,0.39312,0.38889,0.26784
0.31544,0.32099,0.39147,0.48602,0.27445
0.32162,0.26785,0.30165,0.1345,0.29724
0.25879,0.41057,0.26969,0.30822,0.35703
0.23061,0.48292,0.3683,0.21815,0.28665
0.31681,0.3561,0.2036,0.38884,0.39581
0.46092,0.25303,0.2053,0.33218,0.32949
0.47514,0.23118,0.16788,0.26192,0.34459
0.44076,0.26868,0.23079,0.43143,0.37782
0.2783,0.35723,0.35961,0.39631,0.14267
0.42956,0.36321,0.30096,0.3307,0.34374
0.2443,0.35604,0.37203,0.28752,0.39963
0.1468,0.23874,0.21537,0.19795,0.26749
0.28681,0.25063,0.40414,0.54942,0.1567
0.40514,0.28248,0.3942,0.42996,0.26368
0.23708,0.22268,0.38356,0.23207,0.32209
0.26421,0.24353,0.31634,0.2649,0.3637
0.47185,0.24032,0.34556,0.42429,0.32007
0.46086,0.2988,0.37814,0.37553,0.36859
0.31851,0.47263,0.30986,0.14857,0.37631
0.3358,0.4332,0.32748,0.2789,0.26416
0.47151,0.37948,0.26465,0.24817,0.28142
0.4009,0.22367,0.33497,0.31002,0.36881
0.19203,0.24865,0.40243,0.25701,0.24572
0.37193,0.41694,0.35269,0.24285,0.34854
0.23707,0.28549,0.38997,0.24548,0.30115
0.25237,0.11132,0.26588,0.15712,0.23104
0.18659,0.40224,0.26361,0.41544,0.31403
0.26072,0.26091,0.34343,0.29152,0.27343
0.19222,0.31339,0.31359,0.37599,0.40839
0.29376,0.29004,0.39621,0.30848,0.18774
0.23057,0.21477,0.19921,0.47749,0.32062
0.27115,0.37662,0.30217,0.29417,0.44954
