id,time,lat,lon,depth,mag,place
0,2016-01-13T17:01:29.450Z,36.1595,14.7181,9.78,4.1,33km NE of Sliema - Malta
1,2016-01-10T17:40:49.430Z,39.5584,34.3468,10,4.9,7km SW of Mecidiye - Turkey
2,2016-01-08T13:07:42.650Z,42.9009,18.4718,31.05,4.6,4km NE of Bileca - Bosnia and Herzegovina
3,2016-01-06T18:44:46.630Z,39.918,15.5591,275.22,4.4,16km WSW of Maratea - Italy
4,2016-01-05T23:11:50.420Z,36.5591,26.8356,143.73,4.2,23km SSW of Kefalos - Greece
5,2016-01-05T07:17:13.720Z,34.2841,32.7204,19.22,4.1,42km S of Pissouri - Cyprus
6,2016-01-04T18:00:55.060Z,38.6037,20.5917,14.1,4.7,15km SW of Nidri - Greece
7,2016-01-04T02:58:23.080Z,36.4613,26.9641,137.29,4.4,31km S of Kefalos - Greece
8,2016-01-03T02:01:44.190Z,71.4584,-3.7562,10,4.7,188km ENE of Olonkinbyen - Svalbard and Jan Mayen
9,2016-01-02T12:36:28.560Z,36.4556,12.1175,23.16,4.3,44km SSE of Pantelleria - Italy
10,2016-01-01T09:11:15.980Z,40.0996,30.5569,10,4.2,8km NNE of Saricakaya - Turkey
11,2015-12-29T18:56:27.620Z,45.3678,24.1999,15.42,4.3,5km NW of Brezoi - Romania
12,2015-12-29T14:15:53.830Z,37.5029,19.9486,9.67,4.6,80km WSW of Mouzaki - Greece
13,2015-12-26T11:00:52.980Z,35.5164,27.3862,36.79,5.2,15km E of Karpathos - Greece
14,2015-12-25T02:24:32.420Z,34.6162,25.4424,20.53,4.6,49km SSW of Gra Liyia - Greece
15,2015-12-20T09:46:05.390Z,38.2882,13.6438,13.06,4.5,24km NNE of Santa Flavia - Italy
16,2015-12-16T20:27:33.050Z,45.652,26.5742,138.7,4.1,13km WSW of Nereju - Romania
17,2015-12-15T23:06:21.560Z,35.9632,21.5322,10,4.3,96km S of Methoni - Greece
18,2015-12-14T21:13:25.770Z,39.0394,20.5675,10,4.3,18km WNW of Preveza - Greece
19,2015-12-12T11:15:01.690Z,34.4829,25.3089,29.05,4.3,59km SSE of Pirgos - Greece
