RecordingTimestamp	FixationIndex	GazeEventDuration(mS)	GazePointIndex	GazePointX(px)	GazePointY(px)
127	1	23	37	555	346
137	2	40	40	487	221
176	3	200	52	500	264
376	4	183	112	375	262
560	5	33	167	468	234
593	6	780	177	493	234
1373	7	207	411	396	258
1580	8	373	473	271	246
1953	9	820	585	445	241
2773	10	157	831	372	240
2930	11	27	878	577	-106
2956	12	20	886	807	245
2976	13	167	892	279	243
3143	14	207	942	801	271
3350	15	397	1004	287	232
3746	16	1210	1123	467	240
4956	17	363	1486	315	255
5319	18	310	1595	315	249
5629	19	170	1688	380	257
5799	20	330	1739	525	233
7076	21	503	2122	528	244
7579	22	377	2273	634	289
7956	23	267	2386	729	320
8223	24	293	2466	641	315
8516	25	243	2554	565	284
8759	26	280	2627	576	265
9039	27	247	2711	541	258
9286	28	667	2785	593	237
9952	29	750	2985	709	211
10702	30	20	3210	648	283
10722	31	117	3216	664	332
10839	32	547	3251	705	298
11386	33	500	3415	620	217
11885	34	1380	3565	564	212
13265	35	120	3979	511	223
14355	36	340	4306	611	247
14695	37	157	4408	594	270
15048	38	173	4514	615	283
15222	39	187	4566	687	334
15408	40	437	4622	528	346
15845	41	180	4753	533	285
16025	42	703	4807	579	244
17308	43	173	5192	259	163
18358	44	223	5507	241	260
18958	45	507	5687	293	317
19465	46	503	5839	365	248
19968	47	553	5990	249	243
22144	48	20	6643	198	330
22991	49	100	6897	237	333
23091	50	20	6927	369	327
23111	51	520	6933	316	319
25067	52	180	7520	242	236
25507	53	397	7652	289	276
25904	54	423	7771	319	271
26327	55	317	7898	268	211
26644	56	200	7993	507	202
26844	57	273	8053	687	193
27117	58	520	8135	1029	228
27637	59	467	8291	791	222
28103	60	157	8431	584	221
28260	61	857	8478	912	244
29117	62	310	8735	854	214
29427	63	163	8828	497	228
29590	64	47	8877	284	206
29637	65	260	8891	227	237
29897	66	497	8969	444	228
30393	67	317	9118	309	211
30710	68	373	9213	231	238
31083	69	313	9325	298	242
31396	70	157	9419	267	231
31553	71	393	9466	464	205
31946	72	923	9584	883	246
32870	73	493	9861	1141	214
33363	74	113	10009	1174	277
33476	75	363	10043	1144	332
33840	76	200	10152	1217	275
34389	77	430	10317	1326	167
34819	78	223	10446	1245	164
35043	79	260	10513	1335	166
35303	80	570	10591	1263	248
35873	81	373	10762	1226	260
36246	82	313	10874	1149	198
36559	83	207	10968	1054	204
36766	84	263	11030	751	203
37029	85	460	11109	543	209
37489	86	200	11247	345	238
37689	87	453	11307	216	212
38762	88	37	11629	195	221
38799	89	337	11640	228	244
39136	90	520	11741	300	256
39656	91	93	11897	282	223
40105	92	300	12032	200	167
40405	93	280	12122	259	215
40685	94	240	12206	395	244
40925	95	310	12278	570	213
41235	96	117	12371	612	245
41352	97	323	12406	497	372
41675	98	437	12503	657	329
42865	99	40	12860	694	156
42905	100	413	12872	530	203
43318	101	407	12996	672	247
43725	102	293	13118	554	232
44485	103	193	13346	924	136
44678	104	1007	13404	1205	197
45685	105	400	13706	824	218
46085	106	673	13826	954	239
46758	107	500	14028	1186	233
47258	108	323	14178	851	229
47775	109	223	14333	241	215
47998	110	437	14400	444	218
48435	111	357	14531	293	186
48791	112	250	14638	393	194
49041	113	263	14713	577	212
49304	114	133	14792	424	642
49438	115	323	14832	371	804
49761	116	323	14929	520	510
50084	117	483	15026	582	208
50568	118	333	15171	450	532
50901	119	220	15271	349	769
51121	120	173	15337	591	552
51294	121	197	15389	543	228
51491	122	387	15448	300	188
51878	123	357	15564	446	211
52234	124	190	15671	811	217
52424	125	110	15728	541	223
52534	126	250	15761	291	208
52784	127	103	15836	224	231
52887	128	103	15867	195	168
52991	129	427	15898	425	207
53417	130	833	16026	921	232
54251	131	397	16276	791	239
54647	132	483	16395	914	251
55130	133	387	16540	821	244
55517	134	170	16656	325	219
55687	135	343	16707	251	245
56030	136	467	16810	435	227
56497	137	610	16950	921	258
57107	138	410	17133	868	239
57517	139	473	17256	1015	253
57990	140	37	17398	828	238
58027	141	393	17409	574	238
58420	142	127	17527	312	241
58547	143	223	17565	224	254
58770	144	153	17632	240	226
58923	145	483	17678	421	220
59407	146	790	17823	911	232
60197	147	260	18060	837	244
60457	148	213	18138	308	224
60670	149	153	18202	424	517
60823	150	1113	18248	411	784
61936	151	377	18582	551	562
62313	152	423	18695	385	622
62736	153	147	18822	341	825
62883	154	60	18866	533	529
62943	155	257	18884	495	206
